frac,sp,Lith_Length,Lith_Length_sigma,Cell_Radius,Cell_Radius_sigma,K,K_sigma,Number of coccoliths used,PIC_pM_cell,POC_pM_cell,PICPOC,Lith_Weights_pg,Lith_Weights_pg_sigma
03to5,ret,4,0.25,2.035,0.15,0.04,0.005,8,0.55,0.51,1.080723503,6.91,2.16
05to8,ret,6.5,0.25,3.355,0.15,0.04,0.005,8,2.37,1.73,1.372775376,37.04,8.5995
08to10,ret,9,0.5,4.235,0.2,0.04,0.005,8,6.3,4.03,1.561859755,78.73,22.9635
10to15,ret,12.5,0.5,5.775,0.2,0.04,0.005,8,16.88,9.66,1.74662094,210.94,51.6796875
15to20,ret,17.5,0.5,7.975,0.2,0.04,0.005,8,46.31,23.98,1.930631389,578.81,121.9640625
03to5,coc,4,0.25,3.19,0.15,0.06,0.005,12.9,2.61,2.74,0.954878901,10.37,2.808
05to8,coc,6.5,0.25,4.69,0.15,0.06,0.005,12.9,7.17,5.38,1.333373378,55.57,10.584
08to10,coc,9,0.5,5.69,0.2,0.06,0.005,12.9,15.23,9.27,1.644098494,118.1,29.5245
10to15,coc,12.5,0.5,7.44,0.2,0.06,0.005,12.9,40.82,19.72,2.069477158,316.41,64.3359375
15to20,coc,17.5,0.5,9.94,0.2,0.06,0.005,12.9,112,44.61,2.510893306,868.22,146.7703125
03to5,chi,4,0.25,3.19,0.15,0.07,0.005,8.3,1.82,2.74,0.665577735,10.37,2.97
05to8,chi,6.5,0.25,4.69,0.15,0.07,0.005,8.3,4,4.61,0.86828898,55.57,11.080125
08to10,chi,9,0.5,5.69,0.2,0.07,0.005,8.3,10.62,9.27,1.145983382,118.1,31.16475
10to15,chi,12.5,0.5,7.44,0.2,0.07,0.005,8.3,28.45,19.72,1.442484402,316.41,67.5
15to20,chi,17.5,0.5,9.94,0.2,0.07,0.005,8.3,84.95,47.84,1.77579523,868.22,152.971875
03to5,dis,4,0.25,3.86,0.15,0.04,0.005,25.5,4.3,5.82,0.74,6.91,2.16
05to8,dis,6.5,0.25,6.755,0.15,0.04,0.005,25.5,11.81,15.02,0.79,37.04,8.5995
08to10,dis,9,0.5,8.685,0.2,0.04,0.005,25.5,25.1,30.5,0.82,78.73,22.9635
10to15,dis,12.5,0.5,12.0625,0.2,0.04,0.005,25.5,67.24,76.94,0.87,210.94,51.6796875
15to20,dis,17.5,0.5,16.8875,0.2,0.04,0.005,25.5,184.5,198.52,0.93,578.81,121.9640625
